OTU	1_se_SRR12170646_db4.metaphlan3_profile.txt	2_se_SRR12170650_db4.metaphlan3_profile.txt	3_se_SRR12170651_db4.metaphlan3_profile.txt
s__Saccharopolyspora_rectivirgula	54.15699	0.0	0.0
s__Kocuria_polaris	6.4794800000000015	0.0	0.0
s__Corynebacterium_phage_P1201	5.76786	0.0	0.0
s__Cyprinid_herpesvirus_3	5.1885	0.0	61.48996999999999
s__Staphylococcus_equorum	4.6364	0.0	0.0
s__Aspergillus_nidulans	3.94975	0.0	0.0
s__Lactobacillus_phage_phiAQ113	3.1034	0.0	0.0
s__Kocuria_rosea	3.09271	0.0	0.0
s__Lactococcus_phage_bIL309	3.0226900000000003	0.0	0.0
s__Aspergillus_cristatus	2.80488	0.0	0.0
s__Thermobifida_fusca	2.44044	0.0	0.0
s__Gallid_alphaherpesvirus_2	2.09488	0.0	0.0
s__Aspergillus_fumigatus	1.36342	0.0	0.0
s__Micrococcus_luteus	0.63844	0.0	0.0
s__Nocardiopsis_alba	0.56324	0.0	0.0
s__Aspergillus_glaucus	0.42298	0.0	0.0
s__Actinoalloteichus_sp_AHMU_CJ021	0.27397	0.0	0.0
s__Agrotis_segetum_nucleopolyhedrovirus_A	0.0	100.0	0.0
s__Staphylococcus_virus_G15	0.0	0.0	38.51003
